Laikotarpis,Rodiklis,Šalys ir teritorijos:Kodas,Šalys ir teritorijos:Pavadinimas,Kombinuotoji nomenklatūra (2-jų ženklų lygiu),Apskritys,Matavimo vienetai,Reikšmė,
2019,Lietuviškos kilmės eksportas,DE,Vokietija,,Lietuvos Respublika,tūkst. EUR,1674799.6,9.41%
2019,Lietuviškos kilmės eksportas,PL,Lenkija,,Lietuvos Respublika,tūkst. EUR,1562047.6,8.78%
2019,Lietuviškos kilmės eksportas,LV,Latvija,,Lietuvos Respublika,tūkst. EUR,1368769.1,7.69%
2019,Lietuviškos kilmės eksportas,SE,Švedija,,Lietuvos Respublika,tūkst. EUR,1163671.5,6.54%
2019,Lietuviškos kilmės eksportas,US,Jungtinės Valstijos,,Lietuvos Respublika,tūkst. EUR,1029767.5,5.79%
2019,Lietuviškos kilmės eksportas,GB,Jungtinė Karalystė,,Lietuvos Respublika,tūkst. EUR,928580.4,5.22%
2019,Lietuviškos kilmės eksportas,NL,Nyderlandai,,Lietuvos Respublika,tūkst. EUR,821031.5,4.61%
2019,Lietuviškos kilmės eksportas,EE,Estija,,Lietuvos Respublika,tūkst. EUR,777499.6,4.37%
2019,Lietuviškos kilmės eksportas,UA,Ukraina,,Lietuvos Respublika,tūkst. EUR,773811.2,4.35%
2019,Lietuviškos kilmės eksportas,NO,Norvegija,,Lietuvos Respublika,tūkst. EUR,727207.8,4.09%
2019,Lietuviškos kilmės eksportas,DK,Danija,,Lietuvos Respublika,tūkst. EUR,575304.1,3.23%
2019,Lietuviškos kilmės eksportas,FR,Prancūzija,,Lietuvos Respublika,tūkst. EUR,568375.6,3.19%
2019,Lietuviškos kilmės eksportas,IT,Italija,,Lietuvos Respublika,tūkst. EUR,533516.8,3.00%
2019,Lietuviškos kilmės eksportas,SA,Saudo Arabija,,Lietuvos Respublika,tūkst. EUR,454053.9,2.55%
2019,Lietuviškos kilmės eksportas,BE,Belgija,,Lietuvos Respublika,tūkst. EUR,410391,2.31%
2019,Lietuviškos kilmės eksportas,FI,Suomija,,Lietuvos Respublika,tūkst. EUR,395433.3,2.22%
2019,Lietuviškos kilmės eksportas,RU,Rusija,,Lietuvos Respublika,tūkst. EUR,331374.5,1.86%
2019,Lietuviškos kilmės eksportas,CZ,Čekija,,Lietuvos Respublika,tūkst. EUR,252786.8,1.42%
2019,Lietuviškos kilmės eksportas,ES,Ispanija,,Lietuvos Respublika,tūkst. EUR,251697.6,1.41%
2019,Lietuviškos kilmės eksportas,CN,Kinija,,Lietuvos Respublika,tūkst. EUR,208166.8,1.17%
2019,Lietuviškos kilmės eksportas,SG,Singapūras,,Lietuvos Respublika,tūkst. EUR,195116.1,1.10%
2019,Lietuviškos kilmės eksportas,JP,Japonija,,Lietuvos Respublika,tūkst. EUR,176631.5,0.99%
2019,Lietuviškos kilmės eksportas,TR,Turkija,,Lietuvos Respublika,tūkst. EUR,174191.5,0.98%
2019,Lietuviškos kilmės eksportas,AT,Austrija,,Lietuvos Respublika,tūkst. EUR,162063.7,0.91%
2019,Lietuviškos kilmės eksportas,BY,Baltarusija,,Lietuvos Respublika,tūkst. EUR,159699.9,0.90%
2019,Lietuviškos kilmės eksportas,CA,Kanada,,Lietuvos Respublika,tūkst. EUR,149832.9,0.84%
2019,Lietuviškos kilmės eksportas,CH,Šveicarija,,Lietuvos Respublika,tūkst. EUR,131551.3,0.74%
2019,Lietuviškos kilmės eksportas,ZA,Pietų Afrika,,Lietuvos Respublika,tūkst. EUR,110190.3,0.62%
2019,Lietuviškos kilmės eksportas,HU,Vengrija,,Lietuvos Respublika,tūkst. EUR,107140.8,0.60%
2019,Lietuviškos kilmės eksportas,QS,"Atsargos ir maisto atsargos, tiekiamos vykdant prekybą su trečiosiomis šalimis",,Lietuvos Respublika,tūkst. EUR,94819.4,0.53%
2019,Lietuviškos kilmės eksportas,IE,Airija,,Lietuvos Respublika,tūkst. EUR,90692.1,0.51%
2019,Lietuviškos kilmės eksportas,RO,Rumunija,,Lietuvos Respublika,tūkst. EUR,77463.4,0.44%
2019,Lietuviškos kilmės eksportas,SK,Slovakija,,Lietuvos Respublika,tūkst. EUR,67152.1,0.38%
2019,Lietuviškos kilmės eksportas,PT,Portugalija,,Lietuvos Respublika,tūkst. EUR,62743.6,0.35%
2019,Lietuviškos kilmės eksportas,IL,Izraelis,,Lietuvos Respublika,tūkst. EUR,62256.3,0.35%
2019,Lietuviškos kilmės eksportas,MA,Marokas,,Lietuvos Respublika,tūkst. EUR,59597.7,0.33%
2019,Lietuviškos kilmės eksportas,AE,Jungtiniai Arabų Emyratai,,Lietuvos Respublika,tūkst. EUR,59549.1,0.33%
2019,Lietuviškos kilmės eksportas,KR,Pietų Korėja,,Lietuvos Respublika,tūkst. EUR,56424.9,0.32%
2019,Lietuviškos kilmės eksportas,BG,Bulgarija,,Lietuvos Respublika,tūkst. EUR,55270.5,0.31%
2019,Lietuviškos kilmės eksportas,AU,Australija,,Lietuvos Respublika,tūkst. EUR,51432.1,0.29%
2019,Lietuviškos kilmės eksportas,NG,Nigerija,,Lietuvos Respublika,tūkst. EUR,46162.7,0.26%
2019,Lietuviškos kilmės eksportas,SD,Sudanas,,Lietuvos Respublika,tūkst. EUR,42945,0.24%
2019,Lietuviškos kilmės eksportas,AR,Argentina,,Lietuvos Respublika,tūkst. EUR,40977.7,0.23%
2019,Lietuviškos kilmės eksportas,LY,Libija,,Lietuvos Respublika,tūkst. EUR,39430.7,0.22%
2019,Lietuviškos kilmės eksportas,EG,Egiptas,,Lietuvos Respublika,tūkst. EUR,39079.3,0.22%
2019,Lietuviškos kilmės eksportas,IN,Indija,,Lietuvos Respublika,tūkst. EUR,38186.5,0.21%
2019,Lietuviškos kilmės eksportas,GR,Graikija,,Lietuvos Respublika,tūkst. EUR,36697.5,0.21%
2019,Lietuviškos kilmės eksportas,KZ,Kazachstanas,,Lietuvos Respublika,tūkst. EUR,36690.6,0.21%
2019,Lietuviškos kilmės eksportas,IS,Islandija,,Lietuvos Respublika,tūkst. EUR,36463.2,0.20%
2019,Lietuviškos kilmės eksportas,DZ,Alžyras,,Lietuvos Respublika,tūkst. EUR,35340.6,0.20%
2019,Lietuviškos kilmės eksportas,QR,"Tiekiamos atsargos ir maisto atsargos, vykdant Bendrijos vidaus prekybą",,Lietuvos Respublika,tūkst. EUR,31927.8,0.18%
2019,Lietuviškos kilmės eksportas,SI,Slovėnija,,Lietuvos Respublika,tūkst. EUR,28380.7,0.16%
2019,Lietuviškos kilmės eksportas,HR,Kroatija,,Lietuvos Respublika,tūkst. EUR,26426.1,0.15%
2019,Lietuviškos kilmės eksportas,HK,Honkongas,,Lietuvos Respublika,tūkst. EUR,21610.8,0.12%
2019,Lietuviškos kilmės eksportas,MX,Meksika,,Lietuvos Respublika,tūkst. EUR,19972.4,0.11%
2019,Lietuviškos kilmės eksportas,TW,Taivanas,,Lietuvos Respublika,tūkst. EUR,16943.4,0.10%
2019,Lietuviškos kilmės eksportas,AZ,Azerbaidžanas,,Lietuvos Respublika,tūkst. EUR,14725.2,0.08%
2019,Lietuviškos kilmės eksportas,VN,Vietnamas,,Lietuvos Respublika,tūkst. EUR,13412.1,0.08%
2019,Lietuviškos kilmės eksportas,BR,Brazilija,,Lietuvos Respublika,tūkst. EUR,12801.7,0.07%
2019,Lietuviškos kilmės eksportas,FO,Farerų salos,,Lietuvos Respublika,tūkst. EUR,12760.6,0.07%
2019,Lietuviškos kilmės eksportas,CR,Kosta Rika,,Lietuvos Respublika,tūkst. EUR,12365.9,0.07%
2019,Lietuviškos kilmės eksportas,KE,Kenija,,Lietuvos Respublika,tūkst. EUR,12156.5,0.07%
2019,Lietuviškos kilmės eksportas,MY,Malaizija,,Lietuvos Respublika,tūkst. EUR,12117.8,0.07%
2019,Lietuviškos kilmės eksportas,UZ,Uzbekistanas,,Lietuvos Respublika,tūkst. EUR,12066.4,0.07%
2019,Lietuviškos kilmės eksportas,CL,Čilė,,Lietuvos Respublika,tūkst. EUR,11796.4,0.07%
2019,Lietuviškos kilmės eksportas,NZ,Naujoji Zelandija,,Lietuvos Respublika,tūkst. EUR,11181.1,0.06%
2019,Lietuviškos kilmės eksportas,AO,Angola,,Lietuvos Respublika,tūkst. EUR,11085.8,0.06%
2019,Lietuviškos kilmės eksportas,MD,Moldovos Respublika,,Lietuvos Respublika,tūkst. EUR,10851.2,0.06%
2019,Lietuviškos kilmės eksportas,XS,Serbija,,Lietuvos Respublika,tūkst. EUR,10465.4,0.06%
2019,Lietuviškos kilmės eksportas,LU,Liuksemburgas,,Lietuvos Respublika,tūkst. EUR,10083.9,0.06%
2019,Lietuviškos kilmės eksportas,TH,Tailandas,,Lietuvos Respublika,tūkst. EUR,8502.6,0.05%
