"","Date","PMI"
"1",2020-03-01,49.1
"2",2020-02-01,50.1
"3",2020-01-01,50.9
"4",2019-12-01,47.8
"5",2019-11-01,48.1
"6",2019-10-01,48.5
"7",2019-09-01,48.2
"8",2019-08-01,48.8
"9",2019-07-01,51.3
"10",2019-06-01,51.6
"11",2019-05-01,52.3
"12",2019-04-01,53.4
"13",2019-03-01,54.6
"14",2019-02-01,54.1
"15",2019-01-01,56.6
"16",2018-12-01,54.3
"17",2018-11-01,58.8
"18",2018-10-01,57.5
"19",2018-09-01,59.5
"20",2018-08-01,60.8
"21",2018-07-01,58.4
"22",2018-06-01,60
"23",2018-05-01,58.7
"24",2018-04-01,57.9
"25",2018-03-01,59.3
"26",2018-02-01,60.7
"27",2018-01-01,59.1
"28",2017-12-01,59.3
"29",2017-11-01,58.2
"30",2017-10-01,58.5
"31",2017-09-01,60.2
"32",2017-08-01,59.3
"33",2017-07-01,56.5
"34",2017-06-01,56.7
"35",2017-05-01,55.5
"36",2017-04-01,55.3
"37",2017-03-01,56.6
"38",2017-02-01,57.6
"39",2017-01-01,56
"40",2016-12-01,54.5
"41",2016-11-01,53.5
"42",2016-10-01,52
"43",2016-09-01,51.7
"44",2016-08-01,49.4
"45",2016-07-01,52.3
"46",2016-06-01,52.8
"47",2016-05-01,51
"48",2016-04-01,50.7
"49",2016-03-01,51.7
"50",2016-02-01,49.7
"51",2016-01-01,48.2
"52",2015-12-01,48
"53",2015-11-01,48.4
"54",2015-10-01,49.4
"55",2015-09-01,50.2
"56",2015-08-01,51.1
"57",2015-07-01,52.7
"58",2015-06-01,53.5
"59",2015-05-01,52.8
"60",2015-04-01,51.5
"61",2015-03-01,51.5
"62",2015-02-01,52.9
"63",2015-01-01,53.5
"64",2014-12-01,55.1
"65",2014-11-01,57.6
"66",2014-10-01,57.9
"67",2014-09-01,56.1
"68",2014-08-01,58.1
"69",2014-07-01,56.4
"70",2014-06-01,55.7
"71",2014-05-01,55.6
"72",2014-04-01,55.3
"73",2014-03-01,54.4
"74",2014-02-01,54.3
"75",2014-01-01,51.3
"76",2013-12-01,56.5
"77",2013-11-01,57
"78",2013-10-01,56.6
"79",2013-09-01,56
"80",2013-08-01,56.3
"81",2013-07-01,54.9
"82",2013-06-01,52.5
"83",2013-05-01,50
"84",2013-04-01,50
"85",2013-03-01,51.5
"86",2013-02-01,53.1
"87",2013-01-01,52.3
"88",2012-12-01,50.4
"89",2012-11-01,49.5
"90",2012-10-01,51.2
"91",2012-09-01,52.2
"92",2012-08-01,51.1
"93",2012-07-01,50.6
"94",2012-06-01,51
"95",2012-05-01,53.2
"96",2012-04-01,53.7
"97",2012-03-01,53
"98",2012-02-01,52.4
"99",2012-01-01,52.8
"100",2011-12-01,53.1
"101",2011-11-01,52.1
"102",2011-10-01,51.8
"103",2011-09-01,52.8
"104",2011-08-01,53
"105",2011-07-01,52.9
"106",2011-06-01,56.6
"107",2011-05-01,53.7
"108",2011-04-01,58.9
"109",2011-03-01,59.1
"110",2011-02-01,59.3
"111",2011-01-01,59
"112",2010-12-01,57.5
"113",2010-11-01,57.6
"114",2010-10-01,57.7
"115",2010-09-01,56.3
"116",2010-08-01,58
"117",2010-07-01,56.4
"118",2010-06-01,56.4
"119",2010-05-01,58.3
"120",2010-04-01,58.1
"121",2010-03-01,58.8
"122",2010-02-01,55.8
"123",2010-01-01,57.2
"124",2009-12-01,55.3
"125",2009-11-01,54.4
"126",2009-10-01,56
"127",2009-09-01,54.4
"128",2009-08-01,53.5
"129",2009-07-01,49.9
"130",2009-06-01,45.8
"131",2009-05-01,41.7
"132",2009-04-01,39.5
"133",2009-03-01,36
"134",2009-02-01,35.5
"135",2009-01-01,34.9
"136",2008-12-01,33.1
"137",2008-11-01,36.5
"138",2008-10-01,38.9
"139",2008-09-01,44.8
"140",2008-08-01,49.2
"141",2008-07-01,50
"142",2008-06-01,49.8
"143",2008-05-01,48.8
"144",2008-04-01,48.8
"145",2008-03-01,48.3
"146",2008-02-01,47.6
"147",2008-01-01,50.3
"148",2007-12-01,49
"149",2007-11-01,50.5
"150",2007-10-01,51.1
"151",2007-09-01,51
"152",2007-08-01,50.9
"153",2007-07-01,52.4
"154",2007-06-01,52.6
"155",2007-05-01,52.5
"156",2007-04-01,52.6
"157",2007-03-01,50.7
"158",2007-02-01,51.9
"159",2007-01-01,49.5
"160",2006-12-01,51.4
"161",2006-11-01,50.3
"162",2006-10-01,51.4
"163",2006-09-01,52.2
"164",2006-08-01,53.7
"165",2006-07-01,53
"166",2006-06-01,52
"167",2006-05-01,53.7
"168",2006-04-01,55.2
"169",2006-03-01,54.3
"170",2006-02-01,55.8
"171",2006-01-01,55
"172",2005-12-01,55.1
"173",2005-11-01,56.7
"174",2005-10-01,57.2
"175",2005-09-01,56.8
"176",2005-08-01,52.4
"177",2005-07-01,52.8
"178",2005-06-01,52.4
"179",2005-05-01,50.8
"180",2005-04-01,52.2
"181",2005-03-01,55.2
"182",2005-02-01,55.5
"183",2005-01-01,56.8
"184",2004-12-01,57.2
