Date			PMI
May 05, 2020 	39.1	
Apr 23, 2020 	42.0	39.8	
Apr 03, 2020	39.8	39.1	49.4	
Mar 24, 2020  	39.1	42.0	49.4	
Mar 04, 2020	49.4	49.4	53.4	
Feb 21, 2020  	49.4	53.0	53.4	
Feb 05, 2020	53.4	53.2	52.8	
Jan 24, 2020  	53.2	52.9	52.8	
Jan 06, 2020	52.8	52.2	51.6	
Dec 16, 2019  	52.2	52.0	51.6	
Dec 04, 2019	51.6	51.6	50.6	
Nov 22, 2019  	51.6	51.0	50.6	
Nov 05, 2019	50.6	51.0	50.9	
Oct 24, 2019  	51.0	51.0	50.9	
Oct 03, 2019	50.9	50.9	50.7	
Sep 23, 2019  	50.9	51.3	50.7	
Sep 05, 2019	50.7	51.0	50.9	
Aug 22, 2019  	50.9	52.9	53.0	
Aug 05, 2019	53.0	52.2	52.2	
Jul 24, 2019  	52.2	51.7	51.5	
Jul 03, 2019	51.5	50.7	50.7	
Jun 21, 2019  	50.7	51.0	50.9	
Jun 05, 2019	50.9	50.9	50.9	
May 23, 2019  	50.9	53.2	53.0	
May 03, 2019	53.0	52.9	52.9	
Apr 18, 2019  	52.9	55.0	55.3	
Apr 03, 2019	55.3	54.8	54.8	
Mar 22, 2019  	54.8	55.7	56.0	
Mar 05, 2019	56.0	56.2	56.2	
Feb 21, 2019  	56.2	54.4	54.2	
Feb 05, 2019	54.2	54.2	54.2	
Jan 24, 2019  	54.2	54.0	54.4	
Jan 04, 2019	54.4	53.5	53.4	
Dec 14, 2018  	53.4	54.7	54.7	
Dec 06, 2018	54.7	54.4	54.4	
Nov 23, 2018  	54.4	55.0	54.8	
Nov 05, 2018	54.8	54.7	54.7	
Oct 24, 2018  	54.7	54.1	53.5	
Oct 03, 2018	53.5	52.9	52.9	
Sep 21, 2018  	52.9	55.0	54.8	
Sep 06, 2018	54.8	55.2	55.2	
Aug 23, 2018  	55.2	55.9	56.0	
Aug 03, 2018	56.0	56.2	56.2	
Jul 24, 2018  	56.2	56.5	56.5	
Jul 05, 2018	56.5	56.5	56.5	
Jun 22, 2018  	56.5	56.4	56.8	
Jun 05, 2018	56.8	55.7	55.7	
May 23, 2018  	55.7	54.9	54.6	
May 03, 2018	54.6	54.4	54.4	
Apr 23, 2018  	54.4	54.3	54.0	
Apr 04, 2018	54.0	54.3	54.1	
Mar 22, 2018  	54.1	56.1	55.9	
Mar 05, 2018	55.9	55.9	55.9	
Feb 21, 2018  	55.9	53.8	53.3	
Feb 05, 2018	53.3	53.5	53.3	
Jan 24, 2018  	53.3	54.5	53.7	
Jan 04, 2018	53.7	52.4	52.4	
Dec 14, 2017  	52.4	54.6	54.5	
Dec 05, 2017	54.5	55.4	54.7	
Nov 24, 2017  	54.7	55.6	55.3	
Nov 03, 2017	55.3	55.9	55.9	
Oct 24, 2017  	55.9	55.6	55.3	
Oct 04, 2017	55.3	55.1	55.1	
Sep 22, 2017  	55.1	55.9	56.0	
Sep 06, 2017	56.0	56.8	56.9	
Aug 23, 2017  	56.9	54.9	54.7	
Aug 03, 2017	54.7	54.2	54.2	
Jul 24, 2017  	54.2	54.0	54.2	
Jul 06, 2017	54.2	53.0	53.0	
Jun 23, 2017  	53.0	53.7	53.6	
Jun 05, 2017	53.6	54.1	54.0	
May 23, 2017  	54.0	53.1	53.1	
May 03, 2017	53.1	52.5	52.5	
Apr 21, 2017  	52.5	53.0	52.8	
Apr 05, 2017	52.8	53.1	52.9	
Mar 24, 2017  	52.9	54.2	53.8	
Mar 03, 2017	53.8	53.9	53.9	
Feb 21, 2017  	53.9	55.8	55.6	
Feb 03, 2017	55.6	55.1	55.1	
Jan 26, 2017  	55.1	54.4	53.9	
Jan 05, 2017	53.9	53.4	53.4	
Dec 19, 2016  	53.4	55.2	54.6	
Dec 05, 2016	54.6	54.9	54.7	
Nov 25, 2016  	54.7	54.8	54.8	
Nov 03, 2016	54.8	54.8	54.8	
Oct 26, 2016  	54.8	52.3	52.3	
Oct 05, 2016	52.3	51.9	51.9	
Sep 27, 2016  	51.9	51.1	51.0	
Sep 03, 2016	51.0	50.9	50.9	
Aug 25, 2016  	50.9	52.0	51.4	
Aug 03, 2016	51.4	51.0	50.9	
Jul 26, 2016  	50.9	52.0	51.4	
Jul 06, 2016	51.4	51.5	51.3	
Jun 27, 2016  	51.3	52.0	51.3	
Jun 03, 2016	51.3	51.2	51.2	
May 25, 2016  	51.2	53.1	52.8	
May 04, 2016	52.8	52.1	52.1	
Apr 26, 2016  	52.1	52.3	51.3	
Apr 05, 2016	51.3	51.0	51.0	
Mar 24, 2016  	51.0	51.3	49.7	
Mar 03, 2016	49.7	49.8	49.8	
Feb 24, 2016  	49.8	53.5	53.2	
Feb 03, 2016	53.2	53.7	53.7	
Jan 26, 2016  	53.7	54.0	54.3	
Jan 06, 2016	54.3	55.1	53.7	
Dec 18, 2015  	53.7	56.0	56.1	
Dec 03, 2015	56.1	56.5	56.5	
Nov 25, 2015  	56.5	55.0	54.8	
Nov 04, 2015	54.8	54.6	54.4	
Oct 27, 2015  	54.4	55.1	55.1	
Oct 05, 2015	55.1	 	55.6	
Sep 25, 2015   	55.6	55.6	56.1	
Sep 03, 2015 	56.1	55.2	55.2	
Aug 25, 2015   	55.2	56.0	55.7	
Aug 05, 2015 	55.7	55.2	55.2	
Jul 28, 2015   	55.2	55.0	54.8	
Jul 06, 2015 	54.8	54.8	54.8	
Jun 25, 2015   	54.8	56.7	56.2	
Jun 03, 2015 	56.2	56.5	56.4	
May 26, 2015   	56.4	56.8	57.4	
May 05, 2015 	57.4	57.8	57.8	
Apr 27, 2015   	57.8	59.5	59.2	
Apr 06, 2015 	59.2	58.6	58.6	
